id,raw_sentence,processed_sentence
1,"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .",al zaman american force kill shaikh abdullah al ani preacher mosque town qaim near syrian border
2,[ This killing of a respected cleric will be causing us trouble for years to come . ],killing respected cleric cause trouble year come
3,DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .,dpa iraqi authority announce bust terrorist cell operate baghdad
4,Two of them were being run by 2 officials of the Ministry of the Interior !,two run official ministry interior
5,"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .",moi iraq equivalent us fbi would like j. edgar hoover unwittingly employ high level member weathermen bomber back 1960s
6,The third was being run by the head of an investment firm .,third run head investment firm
7,You wonder if he was manipulating the market with his bombing targets .,wonder manipulate market bombing target
8,The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .,cell operate ghazaliyah al jihad district capital
9,"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .",although announcement probably make show progress identify break terror cell find news baathist continue penetrate iraqi government hopeful
10,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .,remind much arvn officer secretly work side vietnam
11,Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .,al zaman guerrilla kill member kurdistan democratic party kidnap mosul
12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",police commander ninevah province announce bombing decline percent mosul whereas big jump number kidnapping
13,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .,wednesday guerrilla kidnap cosmetic surgeon wife way home
14,"In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .",suwayrah kut province two car bomb discover could detonate
15,"( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .",kut southeastern iraq overwhelmingly shiite population lookout baathist saboteur willingly turn
16,This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . ),willingness main difference number bombing south oppose center north country
