raw_sentence,processed_sentence,probability,log_probability
"Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .",al zaman american force kill shaikh abdullah al ani preacher mosque town qaim near syrian border,4.6969116757751433e-63,-143.5159556561479
[ This killing of a respected cleric will be causing us trouble for years to come . ],killing respected cleric cause trouble year come,6.022151510844059e-30,-67.28210820052269
DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .,dpa iraqi authority announce bust terrorist cell operate baghdad,1.6850627573869925e-38,-86.97643072592292
Two of them were being run by 2 officials of the Ministry of the Interior !,two run official ministry interior,1.6289956612411789e-22,-50.16890837970189
"The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .",moi iraq equivalent us fbi would like j. edgar hoover unwittingly employ high level member weathermen bomber back 1960s,1.0432710628774615e-74,-170.3489358515996
The third was being run by the head of an investment firm .,third run head investment firm,5.902777190053478e-23,-51.184034188522105
You wonder if he was manipulating the market with his bombing targets .,wonder manipulate market bombing target,7.639203956533276e-23,-50.92616373528425
The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .,cell operate ghazaliyah al jihad district capital,4.891156896703324e-31,-69.79270902311735
"Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .",although announcement probably make show progress identify break terror cell find news baathist continue penetrate iraqi government hopeful,5.51873181958132e-72,-164.07797860450668
It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .,remind much arvn officer secretly work side vietnam,1.518672318594753e-34,-77.87005668324932
